Option,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
":version :original, :n-workers 26, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",61.71,6.04,0.07,90.32,2.9246028,0.227552,0.0778061,21.1,2.07,0.02,30.88
":version :original, :n-workers 28, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",59.98,6.01,0.06,88.4,2.9235463,0.197123,0.067426,20.52,2.06,0.02,30.24
":version :original, :n-workers 30, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",61.93,6.06,0.05,90.59,2.949834,0.229254,0.0777176,20.99,2.05,0.02,30.71
":version :original, :n-workers 32, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",62.97,6.0,0.06,91.49,2.9256079,0.245317,0.0838516,21.52,2.05,0.02,31.27
":version :original, :n-workers 34, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",62.07,5.94,0.07,90.43,2.8895266,0.231305,0.0800494,21.48,2.06,0.02,31.3
":version :original, :n-workers 36, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",62.05,6.0,0.06,90.54,2.9176416,0.225423,0.0772621,21.27,2.06,0.02,31.03
":version :original, :n-workers 38, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",63.29,6.05,0.05,92.0,2.9415461,0.257625,0.0875815,21.52,2.06,0.02,31.28
":version :original, :n-workers 40, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",67.78,6.34,0.2,97.63,2.9790634,0.277822,0.0932582,22.75,2.13,0.07,32.77
":version :original, :n-workers 42, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",64.53,6.24,0.13,94.35,3.0295797,0.274639,0.0906525,21.3,2.06,0.04,31.14
":version :original, :n-workers 44, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",87.81,6.99,0.27,120.04,3.1291269,0.384364,0.1228343,28.06,2.23,0.09,38.36
":version :original, :n-workers 46, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",78.54,6.79,0.16,108.79,3.1002101,0.252255,0.0813671,25.33,2.19,0.05,35.09
":version :original, :n-workers 48, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",65.23,6.2,0.06,94.58,2.9779603,0.270213,0.0907376,21.9,2.08,0.02,31.76
":version :original, :n-workers 50, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",62.51,5.99,0.06,91.0,2.9087449,0.229315,0.0788364,21.49,2.06,0.02,31.28
":version :original, :n-workers 52, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",63.49,6.07,0.06,92.07,2.9391693,0.25818,0.0878411,21.6,2.07,0.02,31.33
":version :original, :n-workers 54, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",61.71,5.95,0.06,89.89,2.880465,0.216514,0.0751663,21.42,2.07,0.02,31.21
":version :original, :n-workers 56, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",62.24,5.99,0.07,90.52,2.9119316,0.232519,0.0798504,21.37,2.06,0.02,31.09
":version :original, :n-workers 58, :n-secondary-workers 0, :n-reservations 100, :n-relations 50, :n-queries 10, :password-work-factor 5",64.44,6.11,0.05,93.2,2.9668504,0.277496,0.0935322,21.72,2.06,0.02,31.41
