-v txact -w 52 -s 2 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:54:55 CET 2021, Thu Dec 9 09:54:58 CET 2021
-v txact -w 54 -s 2 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:54:58 CET 2021, Thu Dec 9 09:55:01 CET 2021
-v txact -w 56 -s 2 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:55:01 CET 2021, Thu Dec 9 09:55:05 CET 2021
-v txact -w 58 -s 2 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:55:05 CET 2021, Thu Dec 9 09:55:08 CET 2021
-v txact -w 60 -s 2 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:55:08 CET 2021, Thu Dec 9 09:55:12 CET 2021
-v txact -w 62 -s 2 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:55:12 CET 2021, Thu Dec 9 09:55:15 CET 2021
-v txact -w 64 -s 2 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:55:15 CET 2021, Thu Dec 9 09:55:18 CET 2021
Command, start time, end time
-v txact -w 1 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:55:18 CET 2021, Thu Dec 9 09:55:32 CET 2021
-v txact -w 2 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:55:32 CET 2021, Thu Dec 9 09:55:41 CET 2021
-v txact -w 4 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:55:41 CET 2021, Thu Dec 9 09:55:46 CET 2021
-v txact -w 6 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:55:46 CET 2021, Thu Dec 9 09:55:51 CET 2021
-v txact -w 8 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:55:51 CET 2021, Thu Dec 9 09:55:55 CET 2021
-v txact -w 10 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:55:55 CET 2021, Thu Dec 9 09:55:58 CET 2021
-v txact -w 12 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:55:58 CET 2021, Thu Dec 9 09:56:02 CET 2021
-v txact -w 14 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:02 CET 2021, Thu Dec 9 09:56:05 CET 2021
-v txact -w 16 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:05 CET 2021, Thu Dec 9 09:56:09 CET 2021
-v txact -w 18 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:09 CET 2021, Thu Dec 9 09:56:12 CET 2021
-v txact -w 20 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:12 CET 2021, Thu Dec 9 09:56:15 CET 2021
-v txact -w 22 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:15 CET 2021, Thu Dec 9 09:56:18 CET 2021
-v txact -w 24 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:18 CET 2021, Thu Dec 9 09:56:22 CET 2021
-v txact -w 26 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:22 CET 2021, Thu Dec 9 09:56:25 CET 2021
-v txact -w 28 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:25 CET 2021, Thu Dec 9 09:56:28 CET 2021
-v txact -w 30 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:28 CET 2021, Thu Dec 9 09:56:32 CET 2021
-v txact -w 32 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:32 CET 2021, Thu Dec 9 09:56:35 CET 2021
-v txact -w 34 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:35 CET 2021, Thu Dec 9 09:56:38 CET 2021
-v txact -w 36 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:38 CET 2021, Thu Dec 9 09:56:42 CET 2021
-v txact -w 38 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:42 CET 2021, Thu Dec 9 09:56:45 CET 2021
-v txact -w 40 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:45 CET 2021, Thu Dec 9 09:56:48 CET 2021
-v txact -w 42 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:48 CET 2021, Thu Dec 9 09:56:52 CET 2021
-v txact -w 44 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:52 CET 2021, Thu Dec 9 09:56:55 CET 2021
-v txact -w 46 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:55 CET 2021, Thu Dec 9 09:56:58 CET 2021
-v txact -w 48 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:56:58 CET 2021, Thu Dec 9 09:57:01 CET 2021
-v txact -w 50 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:57:01 CET 2021, Thu Dec 9 09:57:05 CET 2021
-v txact -w 52 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:57:05 CET 2021, Thu Dec 9 09:57:08 CET 2021
-v txact -w 54 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:57:08 CET 2021, Thu Dec 9 09:57:11 CET 2021
-v txact -w 56 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:57:11 CET 2021, Thu Dec 9 09:57:15 CET 2021
-v txact -w 58 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:57:15 CET 2021, Thu Dec 9 09:57:18 CET 2021
-v txact -w 60 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:57:18 CET 2021, Thu Dec 9 09:57:21 CET 2021
-v txact -w 62 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:57:21 CET 2021, Thu Dec 9 09:57:25 CET 2021
-v txact -w 64 -s 8 -t 1000 -r 50 -n 10 -p 5, Thu Dec 9 09:57:25 CET 2021, Thu Dec 9 09:57:28 CET 2021
Command, start time, end time
