Option,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
":version :original, :n-workers 20, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.41,1.14,0.03,44.23,2.5465133,0.044399,0.0174352,17.05,0.45,0.01,17.37
":version :original, :n-workers 22, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.9,1.14,0.03,43.71,2.5402415,0.030951,0.0121843,16.89,0.45,0.01,17.21
":version :original, :n-workers 24, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.93,1.15,0.02,43.73,2.5587441,0.0271,0.0105911,16.78,0.45,0.01,17.09
":version :original, :n-workers 26, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.16,1.15,0.04,43.99,2.5513022,0.032781,0.0128487,16.92,0.45,0.02,17.24
":version :original, :n-workers 28, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.9,1.13,0.01,43.69,2.5384885,0.028076,0.0110601,16.9,0.45,0.0,17.21
":version :original, :n-workers 30, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.74,1.15,0.04,43.56,2.5524305,0.03478,0.0136262,16.74,0.45,0.02,17.07
":version :original, :n-workers 32, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.24,1.16,0.03,44.06,2.5880005,0.036461,0.0140885,16.71,0.45,0.01,17.02
":version :original, :n-workers 34, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.83,1.16,0.03,44.67,2.5934249,0.053396,0.020589,16.9,0.45,0.01,17.22
":version :original, :n-workers 36, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",45.25,1.19,0.02,46.06,2.5509965,0.030375,0.0119071,17.74,0.47,0.01,18.06
":version :original, :n-workers 38, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.2,1.15,0.01,43.98,2.5615736,0.030811,0.0120282,16.86,0.45,0.0,17.17
":version :original, :n-workers 40, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.75,1.18,0.04,44.58,2.5735108,0.032284,0.0125447,17.0,0.46,0.02,17.32
":version :original, :n-workers 42, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.67,1.16,0.03,44.45,2.5323347,0.033017,0.0130382,17.24,0.46,0.01,17.55
":version :original, :n-workers 44, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",49.44,1.54,0.48,50.78,2.624563,0.034828,0.01327,18.84,0.59,0.18,19.35
":version :original, :n-workers 46, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",48.78,1.64,0.76,50.42,2.6871396,0.036758,0.0136792,18.15,0.61,0.28,18.76
":version :original, :n-workers 48, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",45.85,1.36,0.31,46.97,2.5701947,0.032807,0.0127644,17.84,0.53,0.12,18.27
":version :original, :n-workers 50, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",49.51,1.67,0.86,51.26,2.7065647,0.041843,0.0154598,18.29,0.62,0.32,18.94
":version :original, :n-workers 52, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",49.74,1.69,0.85,51.49,2.6935222,0.028094,0.0104302,18.47,0.63,0.32,19.12
":version :original, :n-workers 54, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",52.0,1.69,0.61,53.5,2.6677824,0.031519,0.0118147,19.49,0.63,0.23,20.05
":version :original, :n-workers 56, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",45.11,1.26,0.14,46.05,2.5766158,0.028836,0.0111914,17.51,0.49,0.05,17.87
":version :original, :n-workers 58, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",46.29,1.36,0.29,47.4,2.5722032,0.03551,0.0138053,18.0,0.53,0.11,18.43
":version :original, :n-workers 60, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",46.61,1.53,0.58,48.07,2.6615236,0.031548,0.0118534,17.51,0.57,0.22,18.06
":version :original, :n-workers 62, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",43.27,1.16,0.03,44.11,2.5911703,0.033328,0.0128621,16.7,0.45,0.01,17.02
":version :original, :n-workers 64, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",44.67,1.3,0.21,45.71,2.6093012,0.030656,0.0117487,17.12,0.5,0.08,17.52
":version :original, :n-workers 1, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",44.04,1.23,0.16,44.99,2.5437894,0.037219,0.0146313,17.31,0.48,0.06,17.69
":version :original, :n-workers 2, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.83,1.17,0.07,43.67,2.5384178,0.027053,0.0106574,16.87,0.46,0.03,17.2
":version :original, :n-workers 4, :n-secondary-workers 0, :n-reservations 10, :n-relations 50, :n-queries 10, :password-work-factor 5",42.68,1.18,0.05,43.52,2.5730731,0.028259,0.0109826,16.59,0.46,0.02,16.91
